Time [s],Value,Parity Error,Framing Error
3.938439000000000,R,,
3.940709000000000,0,,
3.942164000000000,0,,
3.943233000000000,6,,
3.944278000000000,\r,,
3.987454000000000,R,,
3.989724000000000,0,,
3.991179000000000,0,,
3.992248000000000,6,,
3.993293000000000,\r,,
4.036472000000000,R,,
4.038742000000000,0,,
4.040196000000000,0,,
4.041266000000000,6,,
4.042310000000000,\r,,
4.085489000000000,R,,
4.087760000000000,0,,
4.089214000000000,0,,
4.090283000000000,6,,
4.091328000000000,\r,,
4.134507000000000,R,,
4.136777000000000,0,,
4.138231000000000,0,,
4.139300000000000,6,,
4.140345000000000,\r,,
4.183518000000000,R,,
4.185788000000000,0,,
4.187242000000000,0,,
4.188311000000000,6,,
4.189356000000000,\r,,
4.232531000000000,R,,
4.234801000000000,0,,
4.236256000000000,0,,
4.237325000000000,6,,
4.238369000000000,\r,,
4.281547000000000,R,,
4.283817000000000,0,,
4.285271000000000,0,,
4.286341000000000,6,,
4.287385000000000,\r,,
4.330566000000000,R,,
4.332836000000000,0,,
4.334290000000000,0,,
4.335360000000000,6,,
4.336404000000000,\r,,
4.379579000000000,R,,
4.381849000000000,0,,
4.383304000000000,0,,
4.384373000000000,6,,
4.385418000000000,\r,,
4.428594000000000,R,,
4.430864000000000,0,,
4.432319000000000,0,,
4.433388000000000,6,,
4.434433000000000,\r,,
4.477610000000000,R,,
4.479880000000000,0,,
4.481335000000000,0,,
4.482404000000000,6,,
4.483448000000000,\r,,
4.526626000000000,R,,
4.528897000000000,0,,
4.530351000000000,0,,
4.531420000000000,6,,
4.532465000000000,\r,,
4.575638000000000,R,,
4.577908000000000,0,,
4.579362000000000,0,,
4.580432000000000,6,,
4.581476000000000,\r,,
4.624651000000000,R,,
4.626921000000000,0,,
4.628376000000000,0,,
4.629445000000000,6,,
4.630489000000000,\r,,
4.673668000000000,R,,
4.675938000000000,0,,
4.677393000000000,0,,
4.678462000000000,6,,
4.679506000000000,\r,,
4.722687000000000,R,,
4.724957000000000,0,,
4.726411000000000,0,,
4.727481000000000,6,,
4.728525000000000,\r,,
4.771707000000000,R,,
4.773977000000000,0,,
4.775432000000000,0,,
4.776501000000000,6,,
4.777545000000000,\r,,
4.820719000000000,R,,
4.822989000000000,0,,
4.824444000000000,0,,
4.825513000000000,6,,
4.826557000000000,\r,,
4.869738000000000,R,,
4.872009000000000,0,,
4.873463000000000,0,,
4.874533000000000,6,,
4.875577000000000,\r,,
4.918752000000000,R,,
4.921022000000000,0,,
4.922476000000000,0,,
4.923546000000000,6,,
4.924590000000000,\r,,
4.967774000000000,R,,
4.970044000000000,0,,
4.971498000000000,0,,
4.972568000000000,6,,
4.973612000000000,\r,,
5.016783000000000,R,,
5.019054000000000,0,,
5.020508000000000,0,,
5.021577000000000,6,,
5.022622000000000,\r,,
5.065803000000000,R,,
5.068074000000000,0,,
5.069528000000000,0,,
5.070597000000000,6,,
5.071642000000000,\r,,
5.114821000000000,R,,
5.117091000000000,0,,
5.118546000000000,0,,
5.119615000000000,6,,
5.120660000000000,\r,,
5.163842000000000,R,,
5.166113000000000,0,,
5.167567000000000,0,,
5.168636000000000,6,,
5.169681000000000,\r,,
5.212848000000000,R,,
5.215118000000000,0,,
5.216573000000000,0,,
5.217642000000000,6,,
5.218686000000000,\r,,
5.261860000000000,R,,
5.264130000000000,0,,
5.265585000000000,0,,
5.266654000000000,6,,
5.267699000000000,\r,,
5.310873000000000,R,,
5.313143000000000,0,,
5.314597000000000,0,,
5.315666000000000,6,,
5.316710000000000,\r,,
5.359887000000000,R,,
5.362157000000000,0,,
5.363611000000000,0,,
5.364681000000000,6,,
5.365725000000000,\r,,
5.408901000000000,R,,
5.411171000000000,0,,
5.412625000000000,0,,
5.413694000000000,6,,
5.414738000000000,\r,,
5.457915000000000,R,,
5.460185000000000,0,,
5.461639000000000,0,,
5.462709000000000,6,,
5.463753000000000,\r,,
5.506924000000000,R,,
5.509194000000000,0,,
5.510649000000000,0,,
5.511718000000000,6,,
5.512762000000000,\r,,
5.555939000000000,R,,
5.558209000000000,0,,
5.559663000000000,0,,
5.560732000000000,6,,
5.561777000000000,\r,,
5.604955000000000,R,,
5.607226000000000,0,,
5.608680000000000,0,,
5.609750000000000,6,,
5.610794000000000,\r,,
5.653964000000000,R,,
5.656234000000000,0,,
5.657689000000000,0,,
5.658758000000000,6,,
5.659803000000000,\r,,
5.702981000000000,R,,
5.705251000000000,0,,
5.706706000000000,0,,
5.707775000000000,6,,
5.708820000000000,\r,,
5.751997000000000,R,,
5.754267000000000,0,,
5.755721000000000,0,,
5.756791000000000,6,,
5.757835000000000,\r,,
5.801010000000000,R,,
5.803280000000000,0,,
5.804734000000000,0,,
5.805803000000000,6,,
5.806848000000000,\r,,
5.850025000000000,R,,
5.852295000000000,0,,
5.853749000000000,0,,
5.854818000000000,6,,
5.855863000000000,\r,,
5.899028000000000,R,,
5.901298000000000,0,,
5.902752000000000,0,,
5.903821000000000,6,,
5.904866000000000,\r,,
5.948041000000000,R,,
5.950311000000000,0,,
5.951766000000000,0,,
5.952835000000000,6,,
5.953879000000000,\r,,
5.997058000000000,R,,
5.999328000000000,0,,
6.000782000000000,0,,
6.001851000000000,6,,
6.002896000000000,\r,,
6.046068000000000,R,,
6.048338000000000,0,,
6.049793000000000,0,,
6.050862000000000,6,,
6.051906000000000,\r,,
6.095082000000000,R,,
6.097352000000000,0,,
6.098806000000000,0,,
6.099875000000000,6,,
6.100919000000000,\r,,
